YEAR,MO,DY,HR,WD10M,T2M,RH2M,QV2M,T2MDEW,U10M,PS,T2MWET,WS10M,V10M,PRECTOTCORR
2021,1,1,0,322.47,-0.35,100.0,3.91,-0.37,0.98,95.48,-0.36,1.62,-1.28,0.94
2021,1,1,1,348.4,-0.39,99.81,3.85,-0.46,0.36,95.48,-0.43,1.79,-1.75,0.98
2021,1,1,2,1.23,-0.38,99.12,3.85,-0.52,-0.05,95.48,-0.45,2.18,-2.18,0.95
2021,1,1,3,0.52,-0.39,98.56,3.78,-0.62,-0.02,95.48,-0.5,2.59,-2.59,0.83
2021,1,1,4,352.84,-0.47,98.19,3.78,-0.77,0.36,95.49,-0.62,2.88,-2.86,0.62
2021,1,1,5,344.04,-0.56,97.94,3.72,-0.91,0.91,95.52,-0.74,3.32,-3.2,0.4
2021,1,1,6,337.56,-0.77,98.06,3.66,-1.1,1.35,95.56,-0.94,3.54,-3.27,0.21
2021,1,1,7,335.32,-0.98,98.06,3.6,-1.34,1.55,95.59,-1.16,3.72,-3.38,0.13
2021,1,1,8,336.18,-0.71,97.25,3.66,-1.15,1.71,95.6,-0.93,4.24,-3.88,0.07
2021,1,1,9,340.22,-0.06,95.38,3.78,-0.7,1.57,95.62,-0.38,4.64,-4.37,0.05
2021,1,1,10,344.36,0.58,92.38,3.85,-0.49,1.3,95.65,0.05,4.81,-4.63,0.05
2021,1,1,11,345.15,1.05,89.44,3.85,-0.48,1.23,95.62,0.28,4.78,-4.62,0.06
2021,1,1,12,346.19,1.3,87.25,3.85,-0.56,1.12,95.58,0.37,4.71,-4.58,0.08
2021,1,1,13,347.12,1.3,86.5,3.78,-0.67,1.02,95.56,0.31,4.59,-4.48,0.08
2021,1,1,14,345.14,1.03,87.81,3.78,-0.74,1.09,95.58,0.14,4.24,-4.09,0.09
2021,1,1,15,340.64,0.19,92.19,3.72,-0.9,1.12,95.61,-0.35,3.37,-3.18,0.09
2021,1,1,16,341.18,-0.88,95.0,3.54,-1.67,1.08,95.62,-1.27,3.34,-3.16,0.07
2021,1,1,17,344.68,-0.88,94.25,3.48,-1.76,1.05,95.65,-1.32,3.96,-3.82,0.05
2021,1,1,18,347.52,-0.95,94.44,3.48,-1.81,0.91,95.68,-1.38,4.19,-4.09,0.01
2021,1,1,19,347.64,-1.27,95.56,3.42,-2.02,0.86,95.71,-1.64,4.01,-3.92,0.01
2021,1,1,20,346.83,-1.87,97.56,3.3,-2.39,0.85,95.71,-2.13,3.74,-3.64,0.0
2021,1,1,21,345.72,-2.4,99.25,3.23,-2.74,0.98,95.71,-2.57,3.96,-3.84,0.0
2021,1,1,22,342.58,-2.94,100.0,3.11,-3.21,1.25,95.71,-3.08,4.18,-3.98,0.0
2021,1,1,23,338.07,-3.3,100.0,3.05,-3.61,1.65,95.69,-3.45,4.41,-4.09,0.0
